FACE_ID,FILE,SUBJECT_ID,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT
1,00056475158675a7f26160c17b6643bb.jpg,-1,753.5,1245.5,294,354
2,00056475158675a7f26160c17b6643bb.jpg,-1,309.5,639.5,210,366
3,00056475158675a7f26160c17b6643bb.jpg,-1,4365.5,9.5,222,228
4,0013609d9d3189887f659e1c0354ac3d.jpg,-1,225.5,1029.5,282,402
5,00210c5646520304c9b950ac058d661a.jpg,625,3308.5,3029.5,325,389
6,00247f87096bc308c349452d2d6f70b1.jpg,1098,1926.5,285.5,227,300
7,0026c4ba8119a16fc4e6c42e1ea9d9cb.jpg,-1,2979,31.2,343.6,171.8
8,00277e13db74abebccb2035f0e90eabe.jpg,-1,3752,1761.2,478.5,576.7
9,0029791ed650e8de3cf58a150023398f.jpg,1026,2117.5,1409.5,255,346
10,0029791ed650e8de3cf58a150023398f.jpg,1762,1782.5,207.5,226,271
11,0029791ed650e8de3cf58a150023398f.jpg,558,335.5,1539.5,264,360
12,002e2cbe8e3166addb2baf9b56dcef98.jpg,-1,2769.5,3045.5,306,408
13,0035a3b3d850c868faf9d8a9e5bc3066.jpg,-1,2678.5,2122.5,528,440
14,0035a3b3d850c868faf9d8a9e5bc3066.jpg,-1,1014.5,1678.5,524,504
15,0035a3b3d850c868faf9d8a9e5bc3066.jpg,1170,1351.5,1402.5,277,333
16,0037a2983f1128042d116f55c77b9075.jpg,-1,3674.5,2858.5,420,560
17,0037a2983f1128042d116f55c77b9075.jpg,1463,4539.5,2239.5,372,342
18,0037a2983f1128042d116f55c77b9075.jpg,-1,114.5,1070.5,360,412
19,003b37864df377206aced5ce255c0b1d.jpg,-1,4521.5,1257.5,318,492
20,003c288648b575a390bd72969cdfb0e1.jpg,1798,3239.9,2455.7,338,374
21,003e5ac87f021ed99108973d87c3a26f.jpg,393,1343.5,1598.5,136,193
22,003e5ac87f021ed99108973d87c3a26f.jpg,649,579.5,1543.5,253,302
23,0042853117ec2ce74d93da9baa55b174.jpg,-1,2017.9,1646.7,396.7,421.3
24,00432ef8e11b294d73fd69c55423d280.jpg,1421,3915.5,1658.5,200,249
25,00510fe03491d1217863950dbdd3dbc8.jpg,664,4732.5,1352.5,275,331
26,005183a92f1a0ee9dfb65b81da6c5b12.jpg,-1,1742.5,966.5,384,472
27,005a7307c6e74602404bdbea44570ae3.jpg,-1,2678.5,2198.5,552,644
28,005a7307c6e74602404bdbea44570ae3.jpg,-1,2766.5,1182.5,496,620
29,005a7307c6e74602404bdbea44570ae3.jpg,-1,2558.5,1446.5,548,528
30,005a7307c6e74602404bdbea44570ae3.jpg,-1,278.5,698.5,364,440
31,0060629d1d4499ff6a2d053b355f430d.jpg,-1,4598.6,2354.3,425.4,519.4
32,00632a3e3bf8169487fee41c5949e161.jpg,-1,3226.5,806.5,432,428
33,00632a3e3bf8169487fee41c5949e161.jpg,125,4739.5,2715.5,287,385
